sku,brand,name,size,net_weight,weight_unit,net_volume,volume_unit,gross_weight,gross_weight_unit,parent_category,child_category,description,ingredients,allergen_advice,storage_instructions,energy_kj,enery_kcal,protein,carbohydrates,of_which_sugars,fat,of_which_saturates,fibre,sodium,vitamin_A,VATable,country_of_origin,address,EAN
133264,TRS,Crushed Chillis Extra Hot,,,,750,g,760,g,Ingredients and Seasonings,Chilli Products,TRS Crushed Chillis are extremely pungent.  Added to hot oil and fried they turn dark in colour and give a lovely flavour to the dish.  Add a sprinkle to your pizza topping before baking.,100% crushed chilli,,"To retain freshness and flavour store in an airtight container, in a cool dry place.",,,,,,,,,,,,India,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689496081
334045,Natco,Crushed Chillis    ,,,,700,g,716,g,Ingredients and Seasonings,Chilli Products,,100% crushed chilli,Packed in a factory that handles nuts in a separate area.,Once opened store in an airtight container in a cool dry place. Use within 6 months of opening.,,,,,,,,,,,,India,"Natco Foods Ltd, Buckingham MK18 1T",5013531212236
364596,Golden Lily,Red Pepper Powder,,,,227,g,230,g,Ingredients and Seasonings,Seasonings,,Red Pepper,,Store in a cool dry place out of direct sunlight,,,,,,,,,,,3,China,,4895101001874
373522,E & B Brand,Dried Liquorice Powder,,,,100,g,108,g,Ingredients and Seasonings,Spices and Spice Mixes,Can be used to season and marinade meat.,"Liquorice 100%, Preservative E224 Pottasium Metabisulphite",May contain sulphites,Store in a cool and dry place away from humidity.,,,,,,,,,,,3,China,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",489162600781
370304,E & B Brand,Fennel Powder,,,,100,g,109,g,Ingredients and Seasonings,Spices and Spice Mixes,Can be used to season and marinade meat.,"Fennel 100%, E224 Pottasium Metabisulphite.",Contains sulphites,Store in a cool and dry place away from humidity.,,,,,,,,,,,3,India,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4891626002563
030478,Rajah,Whole Red Chillies,,,,200,g,205,g,Ingredients and Seasonings,Chilli Products,"Chillies are members of the capsicum family and are grown throughout the tropical regions of the world.  There are many different varieties of Chilli and they vary greatly in colour, heat and pungency.  Rajah Whole Red Chillies are known as Birds Eye Chillies and are specially selected for their heat and colour.",Whole Red Chillies,"Packed in a factory which also handles wheat, celery, mustard and sulphur dioxide",Store in a cool dry place.  We recommend that this product be put in an airtight container as soon as the sachet is opened.,,,,,,,,,,,3,Packed in the UK,,5015821145804
007815,Rajah,Crushed Red Chillies,,,,200,g,214,g,Ingredients and Seasonings,Chilli Products,"Originally from South America.  Chillies are members of the Capsicum family and are now grown throughout the tropical regions of the world.  There are many different varieties of Chilli, Mexico alone has over 100 kinds.",Crushed Red Chillies,"Packed in a factory which also handles wheat, celery, mustard and sulphur dioxide",Store in a cool dry place.  We recommend that this product be put in an airtight container as soon as the sachet is opened.,,,,,,,,,,,3,Packed in the UK,,5015821145866
041541,E & B Brand,Five Spice Powder,,,,400,g,414,g,Ingredients and Seasonings,Spices and Spice Mixes,Can be used to season and marinade meat.,"Cassia Bark 25%, Anise 25%, Fennel 20%, Chilli 15%, Orange Peel 15%.",May contain sulphites,Store in a cool dry place away from humidity.,,,,,,,,,,,3,China,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4891626000859
329904,Legend,Dessicated Coconut Fine,,,,1000,g,1025,g,Ingredients and Seasonings,Coconut,,100% Coconut,May contain nuts.  Packed in a facility that also packs nuts.,Store in odour free and dry conditions.,2492,604,5.6g,62g,,6.4g,,,,,3,Non-EU,"Legend PO Box 6080, Nairn IV12 9AA",5060021341167
006239,CTF Brand,Lemongrass Powder,,,,28,g,40,g,Ingredients and Seasonings,Herbs,Put half tablespoon in curry paste or cooking.,Lemongrass 100%,,Keep in cool dry place,,,,,,,,,,,3,Thailand,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",8851381500984
373373,Mama Sitas,Achuete Powder,,,,10,g,12,g,Ingredients and Seasonings,Spices and Spice Mixes,"Extracted from the powdery coating 0f annatto seeds, annatto powder imparts a mildy sweet, nutty flavour and an appetizing colour ranging from yellow-orange to red-orange to a variety of dishes.",Extract of Annatto seeds and cornstarch (27%).,,Store in a cool dry place.,,,,,,,,,,,3,Philippines,"Manning Impex Ltd, 2 Doman Road, Camberley, Surrey GU15 3DF",4804888804189
059584,Ideal,Spicy Bake Mix,,,,30,g,35,g,Ingredients and Seasonings,Spices and Spice Mixes,Use to marinade chcicken before baking,"Salt, ginger powder, sugar, Tapioca starch, Falavour Enhancer (Monosodium Glutamate, Disodum 5 - ribonucleotide) Chicken Powder, Flavour and flavouing, Silicon Dioxide.","This product contains Milk, Wheat, Egg, Soybeans and gluten.",Store in a cool dry place,,,,,,,,,,,3,,,6920468880317
001933,Lobo,Accord,,,,100,g,107,g,Kitchen and Non Food,Misc Non Food,"A blend of special phosphates which bind and emulsify comminuted meat. Besides Sausages, Accord can be used to make fishcake, squid balls and surimi.",Sodium Tripolyphosphate and Potassium Polyphosphate,,Keep in a cool dry place. Discard remaining product after opening.,,,,,,,,,28.1g,,3,Thailand,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",8850030112462
032276,E & B Brand,Star Aniseed Powder,,,,400,g,406,g,Ingredients and Seasonings,Spices and Spice Mixes,Used to season and marinade meat.,Star Aniseed 100%,,Store in a cool dry place away from humidity.,,,,,,,,,,,3,China,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4891626000996
102194,E & B Brand,Cinnamon Powder,,,,400,g,412,g,Ingredients and Seasonings,Spices and Spice Mixes,"For culinary uses, good with almonds, apples, apricots, bananas, chocolate, coffee, lamb, pears poultry and rice.",100% Cinnamon,,Store in a cool dry place away from humidity.,,,,,,,,,,,3,China,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4891626002792
367735,E & B Brand,Gypsum Powder,,,,100,g,104,g,"Noodles, Rice & Flour",Flour & Flour Products,An ingredient for making Tofu,Calcium Sulphate 100%,Keep out of reach of children,Store in a cool dry place away from humidity.,,,,,,,,,,,3,China,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4891626002198
369355,E & B Brand,Ammonia Powder,,,,100,g,104,g,"Noodles, Rice & Flour",Flour & Flour Products,Used as a pluping agent in baking.,Ammonia Bicarbonate 100%,Keep out of reach of children,Store in a cool dry place away from humidity.,,,,,,,,,,,3,China,"W. Wing Yip Plc, 375 Nechells Park Road, Birmingham B7 5NT",4891626002181
017475,Lotus,Flavour enhancer Monosodium Glutamate,,,,100,g,101,g,Ingredients and Seasonings,Seasonings,Flavour Enhancer,Monosodium Glutamate E621,,Store in a cool dry place.,,,,,,,,,,,3,Packed in the UK,"Westmill Foods, 26 Crown Road, Enfield, Middlesex, EN1 1DZ",501582145521
